"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\foodApp\src\Color.js", "JavaScript", 16, 0, 2, 18
"h:\foodApp\src\components\SearchBar.js", "JavaScript", 41, 3, 2, 46
"h:\foodApp\src\screens\HomeScreen.js", "JavaScript", 16, 3, 3, 22
"h:\foodApp\src\screens\SearchScreen.js", "JavaScript", 22, 4, 4, 30
"Total", "-", 95, 10, 11, 116
