"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\foodApp\src\Color.js", "JavaScript", 1, 0, 0, 1
"h:\foodApp\src\components\ResultsDetail.js", "JavaScript", 29, 3, 4, 36
"h:\foodApp\src\components\ResultsList.js", "JavaScript", 6, 1, 2, 9
"h:\foodApp\src\components\SearchBar.js", "JavaScript", 1, 0, 0, 1
"h:\foodApp\src\screens\ResultsShowScreen.js", "JavaScript", 0, 36, 7, 43
"h:\foodApp\src\screens\SearchScreen.js", "JavaScript", 5, 6, 3, 14
"Total", "-", 42, 46, 16, 104
