"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\foodApp\src\api\yelp.js", "JavaScript", 8, 4, 5, 17
"h:\foodApp\src\components\ResultsList.js", "JavaScript", 24, 5, 4, 33
"h:\foodApp\src\hooks\useResults.js", "JavaScript", 25, 9, 6, 40
"h:\foodApp\src\screens\SearchScreen.js", "JavaScript", 20, 4, 9, 33
"Total", "-", 77, 22, 24, 123
